STN	YYYYMMDD	FF
321	19960825	100
321	19960825	120
321	19960825	100
321	19960825	90
321	19960825	100
321	19960825	100
321	19960825	90
321	19960825	90
321	19960825	90
321	19960825	100
321	19960825	100
321	19960825	80
321	19960825	80
321	19960825	80
321	19960825	90
321	19960825	70
321	19960825	70
321	19960826	70
321	19960826	60
321	19960826	60
321	19960826	60
321	19960826	70
321	19960826	70
321	19960826	60
321	19960826	50
321	19960826	60
321	19960826	60
321	19960826	60
321	19960826	50
321	19960826	50
321	19960826	40
321	19960826	50
321	19960826	40
321	19960826	60
321	19960826	50
321	19960826	50
321	19960826	60
321	19960826	60
321	19960826	60
321	19960826	70
321	19960826	60
321	19960827	60
321	19960827	60
321	19960827	50
321	19960827	40
321	19960827	40
321	19960827	50
321	19960827	50
321	19960827	40
321	19960827	40
321	19960827	30
321	19960827	50
321	19960827	30
321	19960827	40
321	19960827	20
321	19960827	10
321	19960827	10
321	19960827	10
321	19960827	20
321	19960827	20
321	19960827	10
321	19960827	10
321	19960827	20
321	19960827	30
321	19960827	30
321	19960828	40
321	19960828	40
321	19960828	50
321	19960828	30
321	19960828	50
321	19960828	70
321	19960828	70
321	19960828	70
321	19960828	70
321	19960828	80
321	19960828	70
321	19960828	70
321	19960828	80
321	19960828	90
321	19960828	100
321	19960828	100
321	19960828	120
321	19960828	140
321	19960828	110
321	19960828	140
321	19960828	160
321	19960828	190
321	19960828	210
321	19960828	140
321	19960829	80
321	19960829	100
321	19960829	100
321	19960829	150
321	19960829	90
321	19960829	180
321	19960829	200
321	19960829	190
321	19960829	150
321	19960829	90
321	19960829	80
321	19960829	120
321	19960829	100
321	19960829	100
321	19960829	140
321	19960829	130
321	19960829	140
321	19960829	140
321	19960829	120
321	19960829	130
321	19960829	130
321	19960829	140
321	19960829	140
321	19960829	130
321	19960830	140
321	19960830	130
321	19960830	130
321	19960830	120
321	19960830	120
321	19960830	100
321	19960830	100
321	19960830	100
321	19960830	120
321	19960830	110
321	19960830	120
321	19960830	130
321	19960830	120
321	19960830	130
321	19960830	110
321	19960830	120
321	19960830	110
321	19960830	100
321	19960830	100
321	19960830	100
321	19960830	110
321	19960830	110
321	19960830	110
321	19960830	100
321	19960831	90
321	19960831	100
321	19960831	100
321	19960831	100
321	19960831	100
321	19960831	90
321	19960831	90
321	19960831	80
321	19960831	80
321	19960831	90
321	19960831	80
321	19960831	90
321	19960831	90
321	19960831	80
321	19960831	70
321	19960831	70
321	19960831	70
321	19960831	70
321	19960831	70
321	19960831	60
321	19960831	60
321	19960831	60
321	19960831	60
321	19960831	50
321	19960901	50
321	19960901	60
321	19960901	60
321	19960901	50
321	19960901	50
321	19960901	50
321	19960901	50
321	19960901	50
321	19960901	50
321	19960901	40
321	19960901	60
321	19960901	50
321	19960901	60
321	19960901	40
321	19960901	40
321	19960901	30
321	19960901	20
321	19960901	10
321	19960901	10
321	19960901	10
321	19960901	10
321	19960901	20
321	19960901	30
321	19960901	30
321	19960902	40
321	19960902	40
321	19960902	40
321	19960902	30
321	19960902	30
321	19960902	40
321	19960902	40
321	19960902	40
321	19960902	40
321	19960902	40
321	19960902	30
321	19960902	30
321	19960902	30
321	19960902	30
321	19960902	30
321	19960902	20
321	19960902	10
321	19960902	10
321	19960902	10
321	19960902	10
321	19960902	20
321	19960902	20
321	19960902	30
321	19960902	40
321	19960903	40
321	19960903	40
321	19960903	40
321	19960903	40
321	19960903	50
321	19960903	50
321	19960903	30
321	19960903	40
321	19960903	30
321	19960903	40
321	19960903	40
321	19960903	50
321	19960903	50
321	19960903	70
321	19960903	80
321	19960903	100
321	19960903	100
321	19960903	100
321	19960903	90
321	19960903	80
321	19960903	90
321	19960903	80
321	19960903	80
321	19960903	70
321	19960904	60
321	19960904	60
321	19960904	80
321	19960904	80
321	19960904	80
321	19960904	80
321	19960904	80
321	19960904	80
321	19960904	80
321	19960904	80
321	19960904	80
321	19960904	80
321	19960904	80
321	19960904	90
321	19960904	80
321	19960904	80
321	19960904	70
321	19960904	80
321	19960904	70
321	19960904	70
321	19960904	80
321	19960904	70
321	19960904	80
321	19960904	70
321	19960905	80
321	19960905	90
321	19960905	70
321	19960905	70
321	19960905	70
321	19960905	80
321	19960905	60
321	19960905	60
321	19960905	70
321	19960905	70
321	19960905	50
321	19960905	70
321	19960905	80
321	19960905	70
321	19960905	90
321	19960905	90
321	19960905	90
321	19960905	90
321	19960905	90
321	19960905	90
321	19960905	80
321	19960905	80
321	19960905	70
321	19960905	70
321	19960906	60
321	19960906	50
321	19960906	50
321	19960906	40
321	19960906	30
321	19960906	40
321	19960906	20
321	19960906	40
321	19960906	60
321	19960906	60
321	19960906	50
321	19960906	50
321	19960906	70
321	19960906	70
321	19960906	70
321	19960906	70
321	19960906	90
321	19960906	90
321	19960906	80
321	19960906	60
321	19960906	60
321	19960906	60
321	19960906	70
321	19960906	60
321	19960907	70
321	19960907	40
321	19960907	20
321	19960907	60
321	19960907	50
321	19960907	40
321	19960907	40
321	19960907	40
321	19960907	30
321	19960907	30
321	19960907	20
321	19960907	10
321	19960907	10
321	19960907	20
321	19960907	30
321	19960907	40
321	19960907	50
321	19960907	40
321	19960907	40
321	19960907	50
321	19960907	50
321	19960907	50
321	19960907	50
321	19960907	60
321	19960908	50
321	19960908	50
321	19960908	50
321	19960908	30
321	19960908	30
321	19960908	20
321	19960908	40
321	19960908	60
321	19960908	40
321	19960908	30
321	19960908	40
321	19960908	80
321	19960908	30
321	19960908	50
321	19960908	60
321	19960908	70
321	19960908	80
321	19960908	70
321	19960908	80
321	19960908	70
321	19960908	80
321	19960908	70
321	19960908	60
321	19960908	50
321	19960909	60
321	19960909	90
321	19960909	70
321	19960909	50
321	19960909	60
321	19960909	70
321	19960909	90
321	19960909	80
321	19960909	80
321	19960909	80
321	19960909	90
321	19960909	80
321	19960909	80
321	19960909	70
321	19960909	80
321	19960909	80
321	19960909	90
321	19960909	80
321	19960909	90
321	19960909	100
321	19960909	90
321	19960909	90
321	19960909	90
321	19960909	90
321	19960910	90
321	19960910	50
321	19960910	70
321	19960910	60
321	19960910	90
321	19960910	80
321	19960910	80
321	19960910	50
321	19960910	90
321	19960910	90
321	19960910	80
321	19960910	80
321	19960910	40
321	19960910	90
321	19960910	100
321	19960910	90
321	19960910	120
321	19960910	60
321	19960910	80
321	19960910	110
321	19960910	120
321	19960910	110
321	19960910	100
321	19960910	100
321	19960911	90
321	19960911	100
321	19960911	80
321	19960911	80
321	19960911	70
321	19960911	60
321	19960911	60
321	19960911	50
321	19960911	60
321	19960911	50
321	19960911	50
321	19960911	50
321	19960911	70
321	19960911	50
